nohup: ignoring input
device = cuda, kinematic_prior = True, N in [20, 50], max_steps = 1000
iter  185/500 | return -303.482 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9303 | pi_loss  0.0011 | v_loss  4.4687 | elapsed 34891.6s
iter  190/500 | return -310.659 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.3353 | pi_loss  0.0025 | v_loss  4.6700 | elapsed 35821.9s
iter  195/500 | return -338.440 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7161 | pi_loss  0.0010 | v_loss  4.9619 | elapsed 36756.7s
iter  200/500 | return -335.111 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8804 | pi_loss  0.0014 | v_loss  4.9381 | elapsed 37675.7s
iter  205/500 | return -327.398 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.4649 | pi_loss  0.0187 | v_loss  4.4399 | elapsed 38592.9s
iter  210/500 | return -352.082 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8527 | pi_loss  0.0011 | v_loss  4.7039 | elapsed 39522.1s
iter  215/500 | return -297.749 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9379 | pi_loss  0.0019 | v_loss  3.6729 | elapsed 40454.2s
iter  220/500 | return -314.684 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7381 | pi_loss  0.0013 | v_loss  5.2876 | elapsed 41361.2s
iter  225/500 | return -321.348 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6104 | pi_loss  0.0017 | v_loss  3.9918 | elapsed 42279.7s
iter  230/500 | return -360.446 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7393 | pi_loss  0.0019 | v_loss  5.6276 | elapsed 43211.2s
iter  235/500 | return -326.513 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6210 | pi_loss  0.0012 | v_loss  5.3357 | elapsed 44128.9s
iter  240/500 | return -474.779 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.2687 | pi_loss  0.0032 | v_loss 12.6703 | elapsed 45040.8s
iter  245/500 | return -324.532 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.2536 | pi_loss  0.0054 | v_loss  5.7867 | elapsed 45970.2s
iter  250/500 | return -343.681 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9919 | pi_loss  0.0041 | v_loss  5.1350 | elapsed 46889.3s
iter  255/500 | return -383.556 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8214 | pi_loss  0.0022 | v_loss  5.6771 | elapsed 47837.4s
iter  260/500 | return -361.456 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9953 | pi_loss  0.0014 | v_loss  5.3736 | elapsed 48758.3s
iter  265/500 | return -334.289 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6736 | pi_loss  0.0010 | v_loss  4.2878 | elapsed 49669.9s
iter  270/500 | return -475.338 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7701 | pi_loss  0.0007 | v_loss 14.7880 | elapsed 50627.3s
iter  275/500 | return -320.473 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8786 | pi_loss  0.0009 | v_loss  4.2214 | elapsed 51573.7s
iter  280/500 | return -335.222 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7402 | pi_loss  0.0019 | v_loss  4.9114 | elapsed 52522.7s
iter  285/500 | return -345.416 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6686 | pi_loss  0.0051 | v_loss  4.7190 | elapsed 53450.7s
iter  290/500 | return -370.857 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.0500 | pi_loss  0.0039 | v_loss  6.3732 | elapsed 54396.2s
iter  295/500 | return -318.689 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5339 | pi_loss  0.0030 | v_loss  4.5008 | elapsed 55307.8s
iter  300/500 | return -323.819 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.1671 | pi_loss  0.0012 | v_loss  4.0086 | elapsed 56254.4s
iter  305/500 | return -305.122 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.1707 | pi_loss  0.0019 | v_loss  3.7766 | elapsed 57210.3s
iter  310/500 | return -362.251 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9311 | pi_loss  0.0010 | v_loss  4.6407 | elapsed 58159.5s
iter  315/500 | return -348.350 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7143 | pi_loss  0.0012 | v_loss  4.8403 | elapsed 59090.0s
iter  320/500 | return -359.116 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7637 | pi_loss  0.0022 | v_loss  6.5949 | elapsed 60008.1s
iter  325/500 | return -320.458 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9943 | pi_loss  0.0017 | v_loss  6.3063 | elapsed 60939.6s
iter  330/500 | return -352.949 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8125 | pi_loss  0.0011 | v_loss  6.4364 | elapsed 61902.8s
iter  335/500 | return -302.380 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8893 | pi_loss  0.0012 | v_loss  4.3208 | elapsed 62840.6s
iter  340/500 | return -321.066 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7018 | pi_loss  0.0012 | v_loss  4.3561 | elapsed 63779.2s
iter  345/500 | return -365.121 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6302 | pi_loss  0.0023 | v_loss  6.4289 | elapsed 64722.8s
iter  350/500 | return -357.210 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5417 | pi_loss  0.0040 | v_loss  6.1095 | elapsed 65634.1s
iter  355/500 | return -355.498 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 1.0891 | pi_loss  0.0115 | v_loss  5.6392 | elapsed 66560.0s
iter  360/500 | return -360.837 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5993 | pi_loss  0.0032 | v_loss  6.8100 | elapsed 67497.4s
iter  365/500 | return -371.948 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9047 | pi_loss  0.0016 | v_loss  7.4964 | elapsed 68445.7s
iter  370/500 | return -354.659 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.4700 | pi_loss  0.0010 | v_loss  5.8069 | elapsed 69357.5s
iter  375/500 | return -355.993 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7409 | pi_loss  0.0036 | v_loss  5.4283 | elapsed 70287.4s
iter  380/500 | return -344.245 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6321 | pi_loss  0.0008 | v_loss  5.7230 | elapsed 71212.4s
iter  385/500 | return -354.862 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.5996 | pi_loss  0.0016 | v_loss  5.4882 | elapsed 72165.1s
iter  390/500 | return -364.449 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6476 | pi_loss  0.0007 | v_loss  5.7340 | elapsed 73109.0s
iter  395/500 | return -351.252 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.6155 | pi_loss  0.0018 | v_loss  6.1269 | elapsed 74032.1s
iter  400/500 | return -357.250 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7234 | pi_loss  0.0009 | v_loss  5.6995 | elapsed 74988.4s
iter  405/500 | return -363.308 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.9633 | pi_loss  0.0016 | v_loss  5.5466 | elapsed 75971.1s
iter  410/500 | return -352.337 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.7071 | pi_loss  0.0065 | v_loss  5.7778 | elapsed 76903.7s
iter  415/500 | return -301.562 | CR  1.00 | MCR  0.00 | progress  0.00 | fiedler 0.8098 | pi_loss  0.0019 | v_loss  4.5170 | elapsed 77827.3s
